0------------------------------------
Message: write to nullptr
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
terminateHandler: Signal caught: SIGABRT(22)
